age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
29,self-employed,single,tertiary,no,3290,0,0,cellular,23,mar,136,1,291,2,success,1
26,blue-collar,single,secondary,no,2007,0,0,cellular,13,oct,194,1,92,5,success,1
35,management,married,tertiary,no,0,1,0,cellular,7,apr,139,1,243,2,other,0
33,self-employed,single,tertiary,no,658,1,0,cellular,12,apr,93,1,173,2,success,0
39,management,married,tertiary,no,141,1,0,cellular,13,may,788,2,331,6,other,0
36,technician,married,tertiary,no,99,1,1,cellular,10,feb,86,1,85,1,failure,0
26,admin.,single,secondary,no,66,1,0,cellular,14,may,451,1,339,3,failure,0
30,admin.,single,tertiary,no,41,1,0,cellular,15,feb,68,4,186,2,success,0
30,technician,married,secondary,no,-910,1,0,cellular,15,may,124,2,298,1,failure,0
42,blue-collar,married,secondary,no,1958,1,0,cellular,18,nov,129,1,172,3,failure,0
49,admin.,divorced,secondary,no,771,1,0,cellular,21,nov,264,2,172,1,failure,0
30,entrepreneur,married,secondary,no,946,1,0,cellular,19,nov,1065,1,183,1,other,0
39,blue-collar,married,secondary,no,360,1,0,cellular,29,jan,325,2,260,2,failure,0
46,admin.,married,secondary,no,368,0,0,cellular,20,aug,293,1,90,4,other,1
32,services,single,secondary,no,6857,0,0,cellular,6,aug,85,1,185,1,failure,0
36,blue-collar,married,secondary,no,1088,1,0,cellular,13,may,77,2,345,2,failure,0
40,services,divorced,secondary,no,687,1,0,cellular,2,feb,531,1,208,1,success,1
41,admin.,divorced,secondary,no,2550,1,0,cellular,15,may,894,2,347,2,failure,0
25,student,single,secondary,no,3713,0,0,cellular,24,may,323,2,353,3,other,1
43,services,single,secondary,no,-63,1,0,cellular,18,may,92,3,374,1,other,0
48,blue-collar,married,secondary,no,238,1,1,cellular,2,jun,118,2,81,1,success,0
29,blue-collar,single,secondary,no,734,1,1,cellular,30,apr,259,1,296,1,other,1
39,blue-collar,single,secondary,no,175,0,0,cellular,12,may,17,1,365,2,other,0
47,blue-collar,married,secondary,no,243,1,0,cellular,4,feb,220,1,246,4,failure,0
32,blue-collar,married,primary,yes,-148,1,0,cellular,4,may,326,3,357,15,other,0
36,admin.,married,secondary,no,498,1,0,cellular,29,jan,151,1,253,1,failure,0
77,retired,married,primary,no,29340,0,0,cellular,15,mar,257,1,91,2,other,1
33,services,single,secondary,no,459,1,0,cellular,29,jan,241,1,266,2,failure,0
34,technician,married,secondary,no,133,0,0,cellular,12,may,171,2,181,3,success,1
36,blue-collar,married,primary,no,356,1,1,cellular,12,may,692,4,172,4,other,0
37,management,single,tertiary,no,0,1,0,cellular,13,may,109,1,344,1,failure,0
32,admin.,single,secondary,no,103,1,0,cellular,17,apr,158,1,337,1,other,0
62,unemployed,married,primary,no,532,0,0,cellular,31,aug,298,2,300,1,other,0
24,blue-collar,single,secondary,no,525,1,0,cellular,16,apr,253,1,332,1,failure,0
37,management,married,primary,no,1506,0,0,cellular,2,nov,101,3,80,3,success,0
40,services,single,secondary,no,326,1,0,cellular,6,may,242,2,169,2,failure,0
34,admin.,married,secondary,no,-297,1,0,cellular,15,may,92,4,353,3,failure,0
30,self-employed,married,tertiary,no,2666,0,0,cellular,4,may,781,3,89,1,success,1
51,technician,married,secondary,no,2,1,1,cellular,4,feb,71,1,205,3,failure,0
29,blue-collar,married,secondary,no,313,1,0,cellular,20,apr,172,2,343,3,other,0
44,admin.,divorced,secondary,no,397,1,1,cellular,16,feb,127,1,257,1,other,1
51,blue-collar,married,primary,no,3185,1,0,cellular,13,may,154,1,174,2,failure,0
25,blue-collar,single,secondary,no,1857,1,0,cellular,13,apr,295,4,187,6,success,1
45,self-employed,married,tertiary,no,430,1,0,cellular,2,feb,221,1,206,2,failure,0
35,admin.,married,secondary,no,5250,1,0,cellular,15,apr,343,2,146,1,failure,0
53,blue-collar,single,secondary,no,1442,0,0,telephone,9,dec,137,8,188,2,other,0
42,technician,married,secondary,no,315,1,0,cellular,5,feb,208,1,275,2,failure,0
35,blue-collar,married,secondary,no,305,1,0,cellular,18,may,7,7,367,25,failure,0
47,admin.,married,secondary,no,3676,0,0,cellular,18,oct,567,1,95,3,success,1
45,management,married,tertiary,no,126,1,0,cellular,20,apr,92,1,342,1,failure,0
21,services,single,secondary,no,361,0,0,telephone,5,jun,329,1,95,1,other,0
30,student,single,tertiary,no,3026,0,0,cellular,23,jul,251,1,535,1,failure,1
36,management,married,tertiary,no,2957,1,1,cellular,30,apr,193,2,265,3,success,0
28,management,single,tertiary,no,41,1,0,cellular,15,may,885,3,352,2,other,1
59,blue-collar,married,primary,no,99,1,0,cellular,5,feb,43,1,261,3,failure,0
29,admin.,single,secondary,no,1992,0,0,cellular,8,jul,202,1,87,2,failure,0
45,technician,married,secondary,no,999,1,0,cellular,20,nov,215,6,188,2,failure,0
36,blue-collar,married,secondary,no,-53,1,0,cellular,20,apr,9,5,322,8,other,0
39,services,single,secondary,no,91,0,0,cellular,3,sep,213,1,185,1,success,1
55,blue-collar,married,secondary,no,233,1,0,cellular,5,may,813,2,351,3,failure,0
41,blue-collar,married,primary,no,7735,1,0,cellular,20,nov,220,1,190,1,failure,0
30,management,married,tertiary,no,877,0,0,cellular,13,aug,202,1,83,5,failure,0
40,blue-collar,married,primary,no,3462,1,0,cellular,9,feb,171,3,277,4,other,0
43,technician,married,primary,no,321,1,0,cellular,6,feb,12,5,268,6,other,0
26,entrepreneur,married,tertiary,no,37,1,1,cellular,6,may,207,1,363,2,failure,0
57,management,married,tertiary,no,256,0,0,cellular,5,jun,304,2,91,1,success,1
26,management,single,tertiary,no,1274,1,0,cellular,1,jun,190,1,84,1,failure,0
36,management,single,tertiary,no,688,0,0,cellular,2,jun,126,1,120,1,failure,0
28,management,single,secondary,no,171,0,0,cellular,5,jun,324,1,87,1,success,1
48,blue-collar,married,primary,no,683,1,0,cellular,9,feb,144,5,209,12,failure,0
29,student,single,tertiary,no,80,1,0,cellular,15,may,15,5,361,1,failure,0
40,services,divorced,secondary,no,209,1,0,cellular,12,may,302,2,344,3,other,0
32,admin.,single,secondary,no,12,1,0,cellular,5,may,242,1,365,2,failure,0
30,services,single,secondary,no,0,1,0,cellular,18,may,131,6,363,9,failure,0
46,management,married,tertiary,no,273,1,0,cellular,10,may,583,6,53,6,success,1
30,technician,married,secondary,no,-306,1,1,cellular,18,nov,372,1,186,1,failure,0
48,management,married,tertiary,no,612,0,0,cellular,26,jul,86,7,292,1,other,0
27,student,single,tertiary,no,5291,0,0,cellular,11,feb,293,1,91,4,success,1
60,unemployed,married,primary,no,0,0,0,cellular,22,jul,1193,1,412,1,other,1
43,blue-collar,married,secondary,no,597,1,0,cellular,2,feb,87,1,263,1,failure,0
26,blue-collar,single,secondary,no,249,1,0,cellular,29,jan,235,3,262,5,failure,0
38,management,married,tertiary,no,413,0,0,cellular,13,apr,240,1,179,2,failure,1
37,management,married,tertiary,no,1113,0,0,cellular,2,mar,229,1,182,1,success,1
33,admin.,married,secondary,no,2468,1,1,cellular,6,may,84,1,282,4,failure,0
35,blue-collar,single,primary,no,246,0,0,cellular,14,may,157,2,345,5,failure,0
48,unemployed,divorced,secondary,no,201,0,0,cellular,10,feb,406,2,92,2,success,1
37,services,married,secondary,no,895,1,1,cellular,4,feb,219,2,245,1,failure,0
32,technician,single,tertiary,no,13711,1,0,cellular,14,may,638,1,175,3,success,0
45,management,married,tertiary,no,1788,0,0,cellular,2,jun,177,2,301,2,failure,0
45,management,divorced,tertiary,no,2237,1,0,cellular,8,may,128,3,322,2,failure,0
37,management,married,tertiary,no,203,0,0,cellular,21,oct,759,1,90,5,success,1
31,technician,single,secondary,no,4888,1,0,telephone,5,may,475,4,166,2,failure,0
42,services,married,secondary,no,1027,1,0,telephone,16,apr,63,2,150,4,failure,0
48,management,single,tertiary,no,336,1,0,cellular,18,may,17,1,369,4,other,0
30,services,married,secondary,no,357,1,0,cellular,4,feb,215,3,253,4,failure,0
40,unemployed,single,secondary,no,356,1,0,cellular,4,may,225,2,339,2,failure,0
43,blue-collar,married,secondary,no,490,1,0,cellular,8,may,216,2,368,2,failure,0
29,technician,single,tertiary,no,0,1,0,cellular,7,may,347,2,337,6,failure,1
30,admin.,single,tertiary,no,261,0,0,cellular,19,oct,233,1,137,20,failure,0
43,blue-collar,married,secondary,no,664,1,0,cellular,9,apr,290,2,301,1,failure,0
36,technician,single,secondary,no,103,1,0,cellular,5,may,122,2,344,2,failure,0
31,blue-collar,single,secondary,no,2194,0,0,cellular,13,may,275,2,357,1,other,0
28,student,single,secondary,no,217,1,0,cellular,15,may,238,2,372,1,failure,0
30,blue-collar,married,secondary,no,246,1,0,cellular,18,nov,166,2,113,5,failure,0
56,services,divorced,secondary,no,141,1,0,cellular,11,may,63,2,370,2,failure,0
33,management,married,tertiary,no,1071,0,0,cellular,2,feb,84,2,174,4,failure,0
41,management,married,secondary,no,41,1,0,cellular,8,may,177,2,364,6,other,0
39,management,married,tertiary,no,613,0,0,cellular,26,may,211,2,391,2,success,0
34,blue-collar,married,secondary,no,315,0,0,cellular,4,may,76,4,89,3,success,0
55,management,divorced,tertiary,no,2383,0,0,cellular,5,aug,1019,2,63,2,success,1
57,retired,married,secondary,no,1044,0,0,telephone,11,jan,585,1,192,2,success,1
37,admin.,married,secondary,no,1335,1,0,telephone,3,apr,309,4,262,4,other,0
31,management,single,tertiary,no,725,1,0,cellular,28,jul,211,1,92,2,failure,0
24,student,single,secondary,no,822,0,0,cellular,27,oct,184,1,91,2,failure,1
43,self-employed,married,secondary,no,634,1,0,cellular,17,nov,65,1,131,1,failure,0
54,management,married,tertiary,no,752,0,0,telephone,29,jul,211,5,491,4,other,1
32,blue-collar,married,secondary,no,1779,1,0,cellular,13,may,191,1,342,2,failure,0
47,technician,married,secondary,no,1740,1,0,cellular,13,sep,502,1,490,1,failure,0
33,management,single,tertiary,no,935,0,0,cellular,9,feb,385,2,92,8,success,1
36,blue-collar,married,primary,no,1993,1,1,cellular,13,may,174,1,359,2,other,0
32,blue-collar,married,secondary,no,335,1,0,cellular,13,may,240,3,370,1,failure,0
30,student,single,secondary,no,48,0,0,cellular,25,feb,217,1,191,2,success,1
37,services,divorced,secondary,no,726,1,0,cellular,5,may,136,2,362,2,other,0
40,management,single,secondary,no,9916,0,0,cellular,18,nov,411,3,8,1,failure,0
38,services,married,secondary,no,773,1,0,cellular,15,may,198,1,359,1,other,0
31,services,married,secondary,no,2423,1,1,cellular,11,may,88,3,362,1,other,0
42,management,married,tertiary,no,-556,1,1,cellular,8,may,682,3,347,3,failure,1
59,management,married,tertiary,no,3342,0,0,cellular,18,mar,467,2,188,6,other,1
44,entrepreneur,married,secondary,no,320,1,1,cellular,5,feb,269,3,234,2,other,0
54,management,married,tertiary,no,67,1,0,cellular,2,feb,161,3,73,1,other,0
19,student,single,secondary,no,526,0,0,cellular,1,jul,174,1,199,3,failure,0
35,management,single,tertiary,no,13,1,0,cellular,18,may,17,8,178,5,other,0
31,unemployed,married,tertiary,no,330,0,0,cellular,13,jul,309,1,181,3,success,1
32,management,married,tertiary,no,4945,0,0,cellular,4,jun,160,1,119,2,other,1
56,retired,married,secondary,no,2749,1,1,cellular,17,nov,38,1,172,2,failure,0
27,blue-collar,single,secondary,no,3145,0,0,cellular,25,jun,374,1,179,2,success,1
39,management,married,tertiary,no,246,1,0,cellular,25,may,217,1,306,8,failure,0
34,technician,married,secondary,no,1234,1,0,cellular,8,may,106,1,288,6,failure,0
31,management,single,tertiary,no,1539,1,0,cellular,30,jun,107,2,756,2,other,0
40,management,single,tertiary,no,0,1,0,cellular,23,feb,228,2,182,6,failure,1
41,management,married,tertiary,no,0,0,0,cellular,17,sep,294,4,63,11,other,1
49,services,married,primary,no,0,1,0,cellular,21,nov,13,2,192,1,other,0
51,self-employed,married,primary,no,106,1,0,telephone,18,nov,366,3,110,2,failure,0
47,blue-collar,divorced,primary,no,1927,1,0,cellular,5,feb,130,4,275,3,failure,0
51,technician,married,tertiary,no,1347,1,1,cellular,30,apr,116,1,79,2,success,0
40,blue-collar,married,secondary,no,679,1,0,cellular,17,apr,642,2,304,1,failure,0
43,blue-collar,married,primary,no,2273,1,0,cellular,14,apr,424,2,147,3,failure,0
28,technician,single,tertiary,no,3623,0,0,cellular,3,jun,138,2,85,1,success,0
43,technician,married,secondary,no,308,1,0,cellular,3,feb,137,3,264,4,other,0
54,blue-collar,married,secondary,no,506,1,0,cellular,18,nov,172,2,104,2,failure,0
48,management,married,tertiary,no,2351,0,0,cellular,15,sep,150,1,105,3,success,1
59,blue-collar,married,primary,no,-91,1,0,cellular,13,may,239,1,369,5,failure,0
32,blue-collar,single,secondary,no,2696,1,0,cellular,20,nov,564,2,183,1,failure,0
37,technician,married,secondary,no,-90,1,0,cellular,17,apr,921,2,263,3,failure,0
41,blue-collar,married,secondary,no,440,1,0,cellular,5,may,523,1,334,2,failure,0
34,management,divorced,tertiary,no,1,1,0,cellular,5,may,106,1,362,3,other,0
39,blue-collar,married,secondary,no,648,1,0,cellular,29,jan,85,2,240,1,failure,0
42,entrepreneur,married,tertiary,no,373,0,0,cellular,17,nov,174,1,154,3,failure,0
32,management,single,tertiary,no,1077,0,0,cellular,5,aug,200,1,717,4,failure,0
33,blue-collar,married,secondary,no,4996,1,0,cellular,18,may,15,9,363,2,failure,0
33,technician,married,secondary,no,133,0,0,cellular,12,nov,627,2,192,1,success,1
74,retired,married,primary,no,2894,0,0,telephone,1,sep,97,5,204,2,other,0
34,management,married,secondary,no,56,1,0,cellular,20,nov,311,3,183,1,failure,0
77,retired,married,secondary,no,638,0,0,cellular,11,feb,288,1,188,1,success,1
34,technician,single,secondary,no,486,1,0,cellular,16,apr,204,1,328,2,failure,0
26,admin.,single,secondary,no,681,1,0,cellular,14,may,336,2,322,3,failure,0
33,management,married,tertiary,no,415,0,0,cellular,4,may,75,5,167,1,other,0
42,services,married,secondary,no,-141,1,1,cellular,13,may,211,3,345,3,failure,0
32,admin.,single,secondary,no,314,0,1,cellular,23,apr,91,4,156,1,other,0
32,management,single,tertiary,no,-307,1,1,cellular,7,may,447,2,346,2,failure,0
30,student,single,tertiary,no,7529,0,0,cellular,20,apr,175,6,183,1,success,1
48,management,married,tertiary,no,3494,0,0,cellular,28,jan,145,3,97,1,other,0
26,admin.,single,tertiary,no,2170,1,0,cellular,26,may,81,1,29,1,failure,0
34,blue-collar,married,secondary,no,-29,1,0,cellular,11,may,200,2,364,2,other,0
31,blue-collar,married,primary,no,290,1,0,cellular,15,may,148,1,291,3,failure,0
31,services,married,secondary,no,132,0,0,cellular,7,jul,148,1,152,1,other,0
40,technician,married,tertiary,no,253,1,0,cellular,14,may,377,4,280,2,other,0
32,admin.,divorced,secondary,no,2294,1,0,cellular,5,feb,342,2,260,2,failure,0
52,management,married,primary,no,98,1,0,cellular,17,apr,402,1,345,2,failure,0
46,blue-collar,married,secondary,no,-1400,1,0,telephone,6,may,309,3,355,4,failure,0
31,technician,single,secondary,no,863,1,0,cellular,3,feb,146,1,263,5,success,0
57,management,married,tertiary,no,10583,0,0,cellular,25,mar,272,1,178,6,success,1
34,management,married,tertiary,no,159,1,1,cellular,9,apr,150,1,275,2,other,0
34,self-employed,single,tertiary,no,589,1,0,telephone,8,may,44,4,367,1,other,0
45,services,divorced,secondary,no,396,1,1,cellular,1,apr,251,4,329,4,failure,0
38,entrepreneur,married,secondary,no,351,1,0,cellular,4,feb,112,1,244,3,failure,0
37,blue-collar,single,secondary,no,2235,1,0,cellular,20,apr,419,2,151,2,failure,0
34,admin.,single,secondary,no,303,0,0,cellular,21,dec,94,3,200,6,success,0
30,admin.,married,secondary,no,265,1,0,cellular,12,may,342,1,354,2,failure,0
66,retired,married,tertiary,no,1948,0,0,cellular,28,jan,216,1,91,4,success,1
34,services,married,secondary,no,790,1,0,cellular,20,apr,579,2,350,1,failure,0
31,student,single,secondary,no,3511,0,0,cellular,6,oct,311,1,96,1,success,1
41,technician,single,tertiary,no,431,0,0,cellular,23,jul,196,1,88,5,failure,1
34,blue-collar,married,secondary,no,1134,1,0,cellular,17,apr,408,1,329,2,failure,0
42,admin.,single,secondary,no,30,1,0,cellular,4,feb,98,1,266,3,failure,0
56,entrepreneur,married,secondary,no,339,1,0,cellular,26,may,251,1,98,3,other,0
54,self-employed,divorced,tertiary,no,1323,0,0,cellular,19,nov,83,1,152,4,failure,0
31,blue-collar,married,primary,no,1601,0,0,cellular,7,apr,615,1,137,3,failure,0
47,technician,married,secondary,no,232,1,0,cellular,5,may,166,2,285,1,failure,0
30,services,single,secondary,no,581,1,0,cellular,15,may,267,1,354,1,other,0
34,blue-collar,married,secondary,no,0,1,1,cellular,12,may,34,2,288,12,failure,0
44,management,married,secondary,no,8262,1,0,cellular,6,apr,150,1,257,16,failure,0
47,services,married,secondary,no,367,1,0,cellular,12,may,309,1,306,4,success,1
25,student,married,tertiary,no,4923,1,1,cellular,4,may,78,4,74,14,failure,0
53,housemaid,married,primary,no,2581,0,0,cellular,21,oct,828,1,189,1,failure,1
44,admin.,single,secondary,no,1534,0,0,cellular,10,nov,95,1,95,3,success,1
44,blue-collar,single,primary,no,1593,1,0,cellular,19,nov,201,2,174,3,success,0
48,admin.,single,secondary,no,3531,1,0,cellular,20,apr,81,2,287,6,failure,0
27,management,single,tertiary,no,1840,0,0,cellular,1,jun,220,1,28,8,other,1
42,admin.,married,tertiary,no,1536,0,0,cellular,5,feb,132,1,182,3,success,0
40,admin.,divorced,secondary,no,952,1,0,cellular,15,may,126,2,333,1,failure,0
59,blue-collar,married,secondary,no,10054,0,0,cellular,21,nov,175,3,100,6,failure,0
46,management,married,tertiary,no,1217,1,0,cellular,5,may,83,9,168,2,other,0
31,management,married,tertiary,no,491,1,0,cellular,20,apr,15,1,326,1,other,0
28,blue-collar,single,secondary,no,2486,1,0,telephone,18,may,26,5,354,1,success,0
34,blue-collar,single,secondary,no,39,0,0,cellular,13,may,254,2,299,3,failure,0
47,retired,married,tertiary,no,1225,1,1,cellular,29,jan,191,3,227,2,failure,0
77,retired,married,primary,no,2590,0,0,telephone,12,aug,345,1,178,20,failure,1
31,admin.,married,secondary,no,873,1,0,cellular,3,jul,147,2,233,4,failure,0
24,blue-collar,single,secondary,no,-398,1,0,cellular,18,may,14,3,355,4,other,0
46,blue-collar,married,secondary,no,6879,0,0,cellular,20,jul,296,1,281,2,failure,0
35,management,married,tertiary,no,3402,0,0,cellular,14,dec,269,1,194,2,failure,0
34,admin.,single,secondary,no,4436,1,0,cellular,20,nov,292,2,178,6,failure,0
48,admin.,divorced,secondary,no,-480,0,0,cellular,18,may,380,2,355,1,failure,0
49,technician,married,tertiary,no,0,0,1,cellular,28,jul,67,5,252,1,failure,0
38,management,married,tertiary,no,184,0,0,cellular,10,feb,64,2,188,2,failure,0
47,management,single,tertiary,no,6651,0,0,cellular,8,jul,229,1,412,2,failure,1
39,technician,married,secondary,no,381,1,0,cellular,11,may,758,1,347,2,failure,0
46,blue-collar,married,secondary,no,4646,1,0,cellular,7,may,33,3,359,1,failure,0
46,technician,married,secondary,no,317,1,1,cellular,2,feb,24,7,250,1,failure,0
39,management,divorced,tertiary,no,-980,1,0,cellular,4,feb,52,2,260,1,failure,0
51,management,married,tertiary,no,1854,1,1,cellular,7,may,166,3,338,2,failure,0
47,retired,married,primary,no,1374,0,1,telephone,8,may,479,2,359,3,failure,1
50,management,married,tertiary,no,5969,0,0,cellular,25,jan,455,1,544,2,failure,1
43,admin.,single,secondary,no,386,0,0,cellular,12,jul,220,3,529,1,failure,1
59,retired,married,tertiary,no,941,0,1,cellular,4,feb,231,1,210,1,failure,0
33,self-employed,married,tertiary,no,-103,1,0,cellular,19,nov,149,2,175,1,failure,0
44,admin.,married,secondary,no,764,1,0,cellular,3,sep,232,1,213,1,failure,0
40,technician,divorced,secondary,no,16,1,0,telephone,12,may,34,12,347,5,other,0
53,blue-collar,married,primary,no,273,1,0,cellular,18,may,248,1,279,2,failure,0
56,management,married,tertiary,no,856,1,1,cellular,4,feb,70,4,7,7,other,0
56,technician,single,primary,no,145,1,0,telephone,6,feb,124,2,9,2,other,0
41,services,married,secondary,no,1141,1,0,cellular,29,jan,75,1,247,1,failure,0
23,services,single,secondary,no,488,0,0,cellular,29,jun,205,1,91,3,success,1
44,blue-collar,single,primary,no,-234,1,1,cellular,15,may,71,3,347,1,failure,0
59,retired,married,primary,no,4007,0,0,cellular,26,mar,157,2,116,4,failure,0
40,unemployed,married,secondary,no,219,1,0,cellular,17,nov,204,2,196,1,failure,0
36,management,married,tertiary,no,1582,0,0,telephone,3,feb,26,2,197,1,failure,0
38,blue-collar,single,secondary,no,0,0,0,cellular,27,jan,240,1,92,4,success,0
59,blue-collar,married,primary,no,14,1,1,cellular,18,nov,319,2,182,1,failure,0
39,technician,divorced,secondary,no,807,1,1,cellular,13,may,69,1,260,6,failure,0
37,services,married,secondary,no,343,1,1,cellular,7,may,104,1,304,7,failure,0
36,management,married,tertiary,no,222,1,0,cellular,6,may,317,1,169,2,failure,0
70,retired,married,primary,no,3230,0,0,cellular,11,jan,300,2,48,1,failure,0
28,management,single,secondary,no,1609,1,0,cellular,18,may,98,2,315,3,failure,0
65,retired,married,tertiary,no,1973,0,0,telephone,2,feb,121,1,287,3,success,0
34,unemployed,married,secondary,no,978,0,0,cellular,3,jun,262,2,71,1,success,1
53,management,divorced,secondary,no,28,1,0,cellular,6,may,135,2,289,1,failure,0
65,retired,married,secondary,no,1220,0,0,cellular,7,sep,127,1,186,2,failure,0
54,management,divorced,tertiary,no,427,1,1,cellular,4,feb,85,2,231,2,other,0
37,technician,married,secondary,no,264,1,1,cellular,20,apr,414,2,285,1,failure,0
42,blue-collar,married,primary,no,191,1,0,telephone,14,may,382,3,371,1,failure,0
27,management,single,tertiary,no,20585,0,0,cellular,23,sep,299,1,100,1,success,1
27,management,single,tertiary,no,377,0,0,cellular,21,aug,171,3,91,1,failure,0
72,retired,married,primary,no,2079,0,0,cellular,13,aug,100,1,191,3,other,0
34,admin.,single,secondary,no,598,1,0,cellular,17,apr,365,1,324,1,failure,0
56,retired,married,primary,no,9367,0,0,telephone,13,nov,271,2,92,4,success,1
28,blue-collar,single,secondary,yes,-2,1,1,cellular,13,may,172,2,364,5,failure,0
24,technician,married,secondary,no,556,1,0,cellular,6,nov,368,2,80,2,success,1
38,technician,divorced,tertiary,no,915,1,0,cellular,5,feb,22,7,266,4,other,0
44,admin.,single,secondary,no,-497,1,0,cellular,11,may,115,2,370,2,failure,0
37,management,married,tertiary,no,596,1,0,cellular,13,may,281,1,345,2,failure,0
37,services,divorced,secondary,no,241,1,0,cellular,14,may,189,1,371,1,failure,0
52,technician,married,secondary,no,463,1,0,cellular,4,feb,132,6,267,5,failure,0
23,student,single,tertiary,no,691,0,0,cellular,27,may,1178,1,178,6,success,1
29,blue-collar,single,tertiary,no,455,0,0,telephone,27,may,214,2,36,1,success,1
32,management,married,tertiary,no,2213,0,0,cellular,29,jan,125,2,154,7,failure,0
31,management,single,tertiary,no,308,1,1,cellular,28,jan,262,2,268,2,other,0
31,blue-collar,single,secondary,no,-366,1,0,cellular,19,nov,313,1,180,1,other,0
37,management,married,tertiary,no,1594,1,0,cellular,17,apr,110,1,260,5,failure,0
33,blue-collar,divorced,secondary,no,86,0,1,cellular,21,nov,183,3,186,1,failure,0
55,technician,single,secondary,no,99,1,0,cellular,12,may,300,1,370,3,failure,0
37,admin.,divorced,secondary,no,506,1,0,cellular,2,feb,446,2,273,1,failure,0
38,management,married,tertiary,no,1276,0,0,cellular,17,may,272,2,182,3,success,1
39,admin.,single,tertiary,no,283,1,0,cellular,18,nov,346,1,179,3,other,0
52,admin.,married,primary,no,576,1,0,cellular,5,may,139,1,286,1,failure,0
51,unemployed,married,tertiary,no,1801,0,0,cellular,2,jul,82,1,77,3,success,0
59,management,married,tertiary,no,7049,0,0,cellular,21,nov,530,1,163,2,failure,1
37,blue-collar,married,secondary,no,426,1,0,cellular,13,may,323,3,345,3,failure,0
29,management,single,tertiary,no,187,1,0,cellular,28,jan,154,2,555,2,failure,0
51,technician,married,secondary,no,12061,1,0,cellular,17,nov,150,1,188,1,failure,0
